EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic/ Comments,
2430.CAS08,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS09,Monetary Amount,Monetary Amount,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS10,Quantity,Numeric value of quantity,S,,,,,
2430.CAS11,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS12,Monetary Amount,Monetary Amount,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS13,Quantity,Numeric value of quantity,S,,,,,
2430.CAS14,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS15,Monetary Amount,Monetary Amount,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS16,Quantity,Numeric value of quantity,S,,,,,
2430.CAS17,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS18,Monetary Amount,Monetary Amount,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS19,Quantity,,,,,,,
DTP,Segment - DTP Line Check or Remittance Date (Required),,,,,,,
2430.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,573 : Date Claim Paid,573,,,
2430.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :Date Expressed in Format CCYYMMDD,D8,,,
2430.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claimDetails/claimExtract/EOBPaymentInformation/paymentDate,,
AMT,Segment - AMT Remaining Patient Liability (Situational),,,,,,,
2430.AMT01,Amount Qualifier Code,Code to qualify amounT,R,EAF : Amount Owed,,,,
2430.AMT02,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
"Loop 2430 (Situational)

Create additional instance of 2430 loop for each instance of claimLine/claimLine/customEOBInfoList/customEOBInfo reported on the claim Line",,,,,,,ustom filed for GHC,
SVD,Segment - SVD Line Adjudication Information (Situational),,,,,,,
2430.SVD01,Identification Code,Code identifying a party or other code,R,,"Populate it to Match the value in 2330B.NM109 which is the benefit plan ID on the claim.
Map from 2330B.NM109",,,
2430.SVD02,Monetary Amount,Monetary Amount,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/EOBInfo/eobPaidAmount,,
2430.SVD03.01,Product/Service ID Qualifier,Code identifying the type/source of the descriptive number used in Product/Service ID,R,"ER : Jurisdiction Specific Procedure and Supply Codes
HC : Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
IV :Home Infusion EDI Coalition (HIEC) Product/Service
Code","Hardcode ""HC""",,,
2430.SVD03.02,Product/Service ID,Identifying number for a product or service,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/serviceCode,,
2430.SVD03.03,Procedure Modifier,"This identifies special circumstances related to the performance of the
service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.04,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.05,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.06,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.07,Description,"A free-form description to clarify the related data elements and their
content",S,,,,,
2430.SVD05,Quantity,Numeric value of quantity/: Paid Service Unit Count,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/units,,
2430.SVD06,Assigned Number,Number assigned for differentiation within a transaction set/: Bundled or Unbundled Line Number,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/originalLineNumber/,"Map when originalLineNumber is different from re-ordered claimLineId
and claim/claimLine/claimLine/isSplit/ is 'true'.",
CAS,Segment - CAS Line Adjustment (Situational),2430 CAS codes received on the each individual service line needs to be mapped to casCodes under “lineeobinformation/lineeobcasCodes”,,,,,,
2430.CAS01,Claim Adjustment Group Code,Code identifying the general category of payment adjustment,R,"CO : Contractual Obligations
CR : Correction and Reversals
OA : Other adjustments
PI : Payor Initiated Reductions
PR : Patient Responsibility",,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentGroupCode,Group the CAS segment based on the claimAdjustmentGroupCode,Not getting theses tags in Soap
2430.CAS02,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS03,Monetary Amount,Monetary Amount,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS04,Quantity,Numeric value of quantity,S,,,,,
2430.CAS05,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS06,Monetary Amount,Monetary amount,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS07,Quantity,Numeric value of quantity,S,,,,,
2430.CAS08,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS09,Monetary Amount,Monetary Amount,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS10,Quantity,Numeric value of quantity,S,,,,,
2430.CAS11,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS12,Monetary Amount,Monetary Amount,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS13,Quantity,Numeric value of quantity,S,,,,,
2430.CAS14,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS15,Monetary Amount,Monetary Amount,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS16,Quantity,Numeric value of quantity,S,,,,,
2430.CAS17,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS18,Monetary Amount,Monetary Amount,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS19,Quantity,,,,,,,
DTP,Segment - DTP Line Check or Remittance Date (Required),,,,,,,
2430.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,573 : Date Claim Paid,573,,,
2430.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :Date Expressed in Format CCYYMMDD,D8,,,
2430.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,/claimDetails/claimExtract/EOBPaymentInformation/paymentDate,,
AMT,Segment - AMT Remaining Patient Liability (Situational),,,,,c,,
2430.AMT01,Amount Qualifier Code,Code to qualify amounT,R,EAF : Amount Owed,,,,
2430.AMT02,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
LQ,Segment - LQ Form Identification Code (Situational),,,,,,,
2440.LQ01,Code List Qualifier Code,Code identifying a specific industry code list,R,"AS : Form Type Code
UT : Centers for Medicare and Medicaid Services (CMS)
Durable Medical Equipment Regional Carrier
(DMERC) Certificate of Medical Necessity (CMN)
Forms",,,,
2440.LQ02,Industry Code,Code indicating a code from a specific industry code list,R,,,,,
FRM,Segment - FRM Supporting Documentation (Required),,,,,,,
2440.FRM01,Assigned Identification,Alphanumeric characters assigned for differentiation within a transaction set,R,,,,,
2440.FRM02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response/ Question Response,S,"N No
W Not Applicable
Y Yes",,,,
2440.FRM03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",S,,,,,
2440.FRM04,Date,"Date expressed as CCYYMMDD where CC represents the first two digits of the
calendar year",S,,,,,
2440.FRM05,"Percent, Decimal Format","Percent given in decimal format (e.g., 0.0 through 100.0 represents 0% through
100%)",S,,,,,
,,,,,,,,
SE,SE Transaction Set Trailer (Required),,R,,,,,
SE01,Number of Included Segments,"Total number of segments included in a transaction set including ST and SE
segments",R,,Count Of ST,,,
SE02,Transaction Set Control Number,"Identifying control number that must be unique within the transaction set
functional group assigned by the originator for a transaction set.  It must be identical to ST02.",R,,ST02 Value,,,
,,,,,,,,
GE,GE Functional Group Trailer (Required),,R,,,,,
GE01,Number of Transaction Sets Included,"Total number of transaction sets included in the functional group or interchange
(transmission) group",R,,Count Of GS,,,
GE02,Group Control Number,Assigned number originated and maintained by the sender .  It must be identical to GS06.,R,,GS06 Value,,,
,,,,,,,,
IEA,IEA Interchange Control Trailer (Required),,R,,,,,
IEA01,Number of Included Functional Groups,A count of the number of functional groups included in an interchange,R,,Count Of ISA,,,
IEA02,Interchange Control Number,A control number assigned by the interchange sender.  It must be identical to ISA13,R,,ISA13 Value,,,
